DmoonGroup,Dmoon_m,StartDmoon_m,DmoonLowerBound_m,Dmoon_km,Dmoon_log2_m,Iteration,TransformID,TransformLabel
10/16/2024,86203378.1150109,357488000,1519.07293145392,86203.3781150109,26.3612410705825,25,2,absElevation
10/17/2024,289981512.41715,357252000,1519.07293145392,289981.51241715,28.1113856841863,25,2,absElevation
11/15/2024,22828830.8090084,361929000,1519.07293145392,22828.8308090084,24.4443536372547,25,2,absElevation
01/12/2025,46158728.7236774,379144000,1519.07293145392,46158.7287236774,25.4601001548912,25,2,absElevation
01/13/2025,417559125.546197,381133000,1519.07293145392,417559.125546197,28.6374052539139,25,2,absElevation
08/07/2025,1591603699.43853,386624000,1519.07293145392,1591603.69943853,30.5678340114577,25,2,absElevation
08/09/2025,143182500.486422,379992000,1519.07293145392,143182.500486422,27.0932799388227,25,2,absElevation
05/22/2024,421112944.735579,395236000,1519.07293145392,421112.944735579,28.6496319827864,26,2,absElevation
07/20/2024,3281885333.05427,374538000,1519.07293145392,3281885.33305427,31.6118776868891,26,2,absElevation
07/21/2024,554143453.502522,370233000,1519.07293145392,554143.453502522,29.0456842604024,26,2,absElevation
08/20/2024,563844603.701262,360805000,1519.07293145392,563844.603701262,29.0707223678929,26,2,absElevation
08/19/2024,1348022290.1317,363196000,1519.07293145392,1348022.2901317,30.3281972062899,26,2,absElevation
10/16/2024,321217863.628468,357488000,1519.07293145392,321217.863628468,28.2589768856141,26,2,absElevation
10/17/2024,446117748.462978,357252000,1519.07293145392,446117.748462978,28.7328493049019,26,2,absElevation
11/15/2024,196675778.888293,361929000,1519.07293145392,196675.778888293,27.5512440561696,26,2,absElevation
01/12/2025,513384170.544045,379144000,1519.07293145392,513384.170544045,28.9354635722898,26,2,absElevation
01/13/2025,1139551700.58809,381133000,1519.07293145392,1139551.70058809,30.0858192340436,26,2,absElevation
05/13/2025,422815457.614425,404420000,1519.07293145392,422815.457614425,28.6554528799444,26,2,absElevation
08/07/2025,4484574.55691834,386624000,1519.07293145392,4484.57455691834,22.0965396952184,26,2,absElevation
