ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1037,0.557105583,357488000,41,Perceptual,1.330680869,2.388561363,MoonStudy
1037,0.557105583,357488000,41,Adjusted,0.98218931,1.763021841,MoonStudy
1038,0.557105583,357488000,11,Perceptual,1.769501139,3.176240185,MoonStudy
1038,0.557105583,357488000,11,Adjusted,0.859420579,1.542652965,MoonStudy
1038,0.557105583,357488000,28,Perceptual,1.327525743,2.382897937,MoonStudy
1038,0.557105583,357488000,28,Adjusted,0.859420579,1.542652965,MoonStudy
1039,0.557105583,357488000,18,Perceptual,0.896146487,1.608575673,MoonStudy
1039,0.557105583,357488000,18,Adjusted,0.948322287,1.70223081,MoonStudy
1039,0.557105583,357488000,29,Perceptual,0.723726539,1.299083266,MoonStudy
1039,0.557105583,357488000,29,Adjusted,0.912036007,1.637097232,MoonStudy
1040,0.557105583,357488000,18,Perceptual,3.227077866,5.792578583,MoonStudy
1040,0.557105583,357488000,18,Adjusted,1.905785916,3.420870254,MoonStudy
1040,0.557105583,357488000,34,Perceptual,1.07147426,1.923287602,MoonStudy
1040,0.557105583,357488000,34,Adjusted,1.519494654,2.727480573,MoonStudy
1041,0.557105583,357488000,19,Perceptual,1.360710805,2.442464854,MoonStudy
1041,0.557105583,357488000,19,Adjusted,1.48716865,2.669455659,MoonStudy
1041,0.557105583,357488000,33,Perceptual,1.334112871,2.394721778,MoonStudy
1041,0.557105583,357488000,33,Adjusted,2.075153586,3.724883848,MoonStudy
1042,0.557105583,357488000,19,Perceptual,1.251237409,2.245960997,MoonStudy
1042,0.557105583,357488000,19,Adjusted,1.164974047,2.091118961,MoonStudy
1042,0.557105583,357488000,33,Perceptual,1.152950237,2.069536319,MoonStudy
1042,0.557105583,357488000,33,Adjusted,1.31882575,2.367281519,MoonStudy
1043,0.557105583,357488000,20,Perceptual,0.953803666,1.712069841,MoonStudy
1043,0.557105583,357488000,20,Adjusted,1.057738196,1.898631478,MoonStudy
1043,0.557105583,357488000,35,Perceptual,1.718744487,3.085132408,MoonStudy
1043,0.557105583,357488000,35,Adjusted,1.222263609,2.19395326,MoonStudy
1044,0.557105583,357488000,20,Perceptual,1.279290968,2.296316907,MoonStudy
1044,0.557105583,357488000,20,Adjusted,1.397947666,2.509304717,MoonStudy
1044,0.557105583,357488000,36,Perceptual,1.228796591,2.205679909,MoonStudy
1044,0.557105583,357488000,36,Adjusted,1.247725442,2.239657044,MoonStudy
1045,0.557105583,357488000,21,Perceptual,0.723726539,1.299083266,MoonStudy
1045,0.557105583,357488000,21,Adjusted,0.913717249,1.640115048,MoonStudy
1045,0.557105583,357488000,37,Perceptual,0.688947084,1.236654426,MoonStudy
1045,0.557105583,357488000,37,Adjusted,1.247725442,2.239657044,MoonStudy
1046,0.557105583,357488000,22,Perceptual,1.624696813,2.916317596,MoonStudy
1046,0.557105583,357488000,22,Adjusted,1.718744487,3.085132408,MoonStudy
1046,0.557105583,357488000,36,Perceptual,1.482331925,2.660773778,MoonStudy
1046,0.557105583,357488000,36,Adjusted,1.426474292,2.56050978,MoonStudy
1047,0.557105583,357488000,22,Perceptual,0.925818941,1.661837487,MoonStudy
1047,0.557105583,357488000,22,Adjusted,1.282530867,2.3021325,MoonStudy
1047,0.557105583,357488000,39,Perceptual,0.862957156,1.549001092,MoonStudy
1047,0.557105583,357488000,39,Adjusted,1.250040148,2.243811922,MoonStudy
1048,0.557105583,357488000,22,Perceptual,1.579206761,2.834663321,MoonStudy
1048,0.557105583,357488000,22,Adjusted,1.089984395,1.956513144,MoonStudy
1048,0.557105583,357488000,39.5,Perceptual,0.822348836,1.476109487,MoonStudy
1048,0.557105583,357488000,39.5,Adjusted,0.916712916,1.645492246,MoonStudy
1049,0.557105583,357488000,22,Perceptual,2.700586663,4.847531146,MoonStudy
1049,0.557105583,357488000,22,Adjusted,2.368622722,4.251658566,MoonStudy
1049,0.557105583,357488000,41,Perceptual,1.644612978,2.952066951,MoonStudy
1049,0.557105583,357488000,41,Adjusted,2.075153586,3.724883848,MoonStudy
1050,0.557105583,357488000,23,Perceptual,0.842163765,1.511677125,MoonStudy
1050,0.557105583,357488000,23,Adjusted,0.920469775,1.652235777,MoonStudy
1050,0.557105583,357488000,40,Perceptual,0.832138361,1.493681605,MoonStudy
1050,0.557105583,357488000,40,Adjusted,1.002650554,1.799749608,MoonStudy
1051,0.557105583,357488000,23,Perceptual,1.704773025,3.060053747,MoonStudy
1051,0.557105583,357488000,23,Adjusted,0.971513854,1.743859484,MoonStudy
1051,0.557105583,357488000,42,Perceptual,0.884946922,1.588472545,MoonStudy
1051,0.557105583,357488000,42,Adjusted,0.970634698,1.742281406,MoonStudy
1052,0.557105583,357488000,24,Perceptual,2.274680665,4.083033336,MoonStudy
1052,0.557105583,357488000,24,Adjusted,1.059401211,1.901616578,MoonStudy
1052,0.557105583,357488000,45,Perceptual,1.122493654,2.014867,MoonStudy
1052,0.557105583,357488000,45,Adjusted,1.309560805,2.350651018,MoonStudy
1053,0.557105583,357488000,24,Perceptual,0.931990796,1.672915917,MoonStudy
1053,0.557105583,357488000,24,Adjusted,1.12296133,2.015706474,MoonStudy
1053,0.557105583,357488000,44,Perceptual,0.7483424,1.343268536,MoonStudy
1053,0.557105583,357488000,44,Adjusted,1.625492152,2.917745223,MoonStudy
1054,0.5574736,357252000,7,Perceptual,2.554658749,4.58256454,MoonStudy
1054,0.5574736,357252000,7,Adjusted,1.624102038,2.913325473,MoonStudy
1054,0.5574736,357252000,36,Perceptual,1.311532863,2.352636723,MoonStudy
1054,0.5574736,357252000,36,Adjusted,2.150542905,3.857658743,MoonStudy
1055,0.5574736,357252000,8,Perceptual,1.343913456,2.410721256,MoonStudy
1055,0.5574736,357252000,8,Adjusted,0.98218931,1.76185798,MoonStudy
1055,0.5574736,357252000,36,Perceptual,0.680596408,1.220858546,MoonStudy
1055,0.5574736,357252000,36,Adjusted,0.950844305,1.705631093,MoonStudy
1056,0.5574736,357252000,10,Perceptual,2.002819223,3.592670979,MoonStudy
1056,0.5574736,357252000,10,Adjusted,1.089154297,1.953732513,MoonStudy
1056,0.5574736,357252000,37,Perceptual,0.515658535,0.924991848,MoonStudy
1056,0.5574736,357252000,37,Adjusted,1.057738196,1.897378093,MoonStudy
1057,0.5574736,357252000,11,Perceptual,2.06242534,3.699592844,MoonStudy
1057,0.5574736,357252000,11,Adjusted,1.650004408,2.959789323,MoonStudy
1057,0.5574736,357252000,32,Perceptual,1.299788804,2.33157015,MoonStudy
1057,0.5574736,357252000,32,Adjusted,1.45618934,2.612122514,MoonStudy
1058,0.5574736,357252000,13,Perceptual,1.945707392,3.490223382,MoonStudy
1058,0.5574736,357252000,34,Perceptual,1.413720234,2.535941136,MoonStudy
1058,0.5574736,357252000,34,Adjusted,1.392436484,2.497762199,MoonStudy
1059,0.5574736,357252000,11,Perceptual,2.055686836,3.687505269,MoonStudy
1059,0.5574736,357252000,11,Adjusted,2.034589559,3.649660829,MoonStudy
1059,0.5574736,357252000,36,Perceptual,1.909682508,3.425601695,MoonStudy
1059,0.5574736,357252000,36,Adjusted,2.340792235,4.198929306,MoonStudy
1060,0.5574736,357252000,12,Perceptual,1.391862914,2.496733326,MoonStudy
1060,0.5574736,357252000,12,Adjusted,2.267661881,4.067747572,MoonStudy
1060,0.5574736,357252000,34,Perceptual,1.270589024,2.279191382,MoonStudy
1060,0.5574736,357252000,34,Adjusted,1.853903911,3.325545661,MoonStudy
