ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
5016,0.525285207232985,379144000,13,Perceptual,1.46115545153287,2.78164210873121,MoonStudy
5016,0.525285207232985,379144000,28,Perceptual,2.13352729449199,4.06165501162816,MoonStudy
31453,0.525285207232985,379144000,14,Perceptual,1.53973140428729,2.93122932663199,MoonStudy
31453,0.525285207232985,379144000,29,Perceptual,0.919728289724227,1.75091222265525,MoonStudy
5018,0.525285207232985,379144000,15,Perceptual,1.9969649918728,3.80167757320275,MoonStudy
5018,0.525285207232985,379144000,25,Perceptual,0.728519301684818,1.38690237542077,MoonStudy
5019,0.525285207232985,379144000,16,Perceptual,2.07626410144454,3.95264148476893,MoonStudy
5019,0.525285207232985,379144000,26,Perceptual,0.413801053372908,0.787764528060222,MoonStudy
5020,0.525285207232985,379144000,16,Perceptual,1.99590916901365,3.7996675739783,MoonStudy
5020,0.525285207232985,379144000,30,Perceptual,0.748342400000073,1.42464015680562,MoonStudy
5021,0.525285207232985,379144000,17,Perceptual,2.3854733028007,4.54129160683302,MoonStudy
5021,0.525285207232985,379144000,30,Perceptual,0.753678580881378,1.43479879216757,MoonStudy
5022,0.525285207232985,379144000,17,Perceptual,2.66256401725074,5.06879687565577,MoonStudy
5022,0.525285207232985,379144000,28,Perceptual,1.14587739536697,2.18143853965172,MoonStudy
5023,0.522543965315936,381133000,5,Perceptual,3.1244498336848,5.97930517061031,MoonStudy
5023,0.522543965315936,381133000,21,Perceptual,2.30223086573137,4.40581275173547,MoonStudy
32329,0.522543965315936,381133000,5,Perceptual,2.21928872247381,4.24708516369909,MoonStudy
32329,0.522543965315936,381133000,19,Perceptual,1.60195238222086,3.0656796146374,MoonStudy
5025,0.522543965315936,381133000,6,Perceptual,1.48233192547313,2.83676020366419,MoonStudy
5025,0.522543965315936,381133000,18,Perceptual,1.19484303828785,2.28658853148449,MoonStudy
5026,0.522543965315936,381133000,6,Perceptual,2.15542855826005,4.12487503698728,MoonStudy
5026,0.522543965315936,381133000,18,Perceptual,1.92542951444935,3.68472251571256,MoonStudy
5027,0.522543965315936,381133000,7,Perceptual,3.75251949000254,7.18125122301187,MoonStudy
5027,0.522543965315936,381133000,20,Perceptual,2.84837463649157,5.45097604326827,MoonStudy
1043,0.522543965315936,381133000,7,Perceptual,1.06403389544809,2.03625716891546,MoonStudy
1043,0.522543965315936,381133000,19,Perceptual,0.812544709304735,1.55497864914287,MoonStudy
5029,0.522543965315936,381133000,8,Perceptual,1.60195238222086,3.0656796146374,MoonStudy
5030,0.522543965315936,381133000,8,Perceptual,2.03458955947317,3.89362368435933,MoonStudy
5030,0.522543965315936,381133000,22,Perceptual,0.848005544761805,1.62284056662886,MoonStudy
5031,0.522543965315936,381133000,9,Perceptual,1.12739670426841,2.15751549936428,MoonStudy
5031,0.522543965315936,381133000,24,Perceptual,0.920469774871083,1.76151641960798,MoonStudy
5032,0.522543965315936,381133000,12,Perceptual,0.956568186329096,1.83059847557658,MoonStudy
