ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Round 1 Final Moon,Round 1 Adjusted Template Size (cm),Round 1 Adjusted Distance (cm),Elevation (deg),Round 1 Caliper Aperture (cm),Round 1 Caliper Distance (cm),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Round 2 Final Moon,Round 2 Adjusted Template Size (cm),Round 2 Adjusted Distance (cm),Time,Elevation (deg) ,Round 2 Caliper Aperture (cm),Round 2 Caliper Distance (cm)
31924,Female,19,11/15/2024,3476,361929,5:20:00 PM,14,2.15,70.00,8,0.96,52.00,6.00,,,12,1.63,77.00,9,0.98,48.00,7:00:00 PM,24.00,,
1084,Female,20,11/15/2024,3476,361929,5:22:00 PM,11,1.44,60.50,10,1.22,46.00,6.00,,,12,1.63,66.00,10,1.22,41.00,7:01:00 PM,25.00,,
31504,Female,20,11/15/2024,3476,361929,5:24:00 PM,12,1.63,83.50,9,0.98,54.50,7.00,,,6,0.72,79.00,7,0.78,46.00,6:54:00 PM,23.00,,
1085,Male,19,11/15/2024,3476,361929,5:26:00 PM,15,2.44,81.50,10,1.22,51.50,7.00,,,,,,,,,,,,
1066,Female,18,11/15/2024,3476,361929,5:37:00 PM,14,2.15,69.50,11,1.44,50.50,9.00,,,12,1.63,66.00,9,0.98,52.00,6:58:00 PM,24.00,,
1072,Female,18,11/15/2024,3476,361929,5:39:00 PM,9,0.98,61.50,9,0.98,45.50,10.00,,,10,1.22,68.00,9,0.98,44.00,6:48:00 PM,22.00,,
1056,Female,18,11/15/2024,3476,361929,5:51:00 PM,9,0.98,76.00,7,0.78,46.75,11.00,,,9,0.98,79.00,7,0.78,44.00,6:57:00 PM,24.00,,
1087,Female,18,11/15/2024,3476,361929,5:59:00 PM,14,2.15,62.00,9,0.98,42.50,13.00,,,12,1.63,63.00,10,1.22,43.00,,,,
1088,Male,18,11/15/2024,3476,361929,6:03:00 PM,16,2.70,72.00,10,1.22,50.50,14.00,,,9,0.98,76.00,9,0.98,54.00,7:31:00 PM,30.00,,
1089,Female,19,11/15/2024,3476,361929,6:07:00 PM,12,1.63,68.00,7,0.78,50.50,14.00,,,11,1.44,68.00,6,0.72,45.00,,,,
1090,Female,18,11/15/2024,3476,361929,6:01:00 PM,12,1.63,85.00,10,1.22,51.00,13.00,,,13,1.90,78.00,11,1.44,47.00,7:25:00 PM,29.00,,
1082,Female,18,11/15/2024,3476,361929,6:11:00 PM,10,1.22,69.00,9,0.98,56.00,15.00,,,10,1.22,79.00,8,0.96,52.00,7:34:00 PM,31.00,,
1091,Male,19,11/15/2024,3476,361929,6:15:00 PM,16,2.70,55.00,10,1.22,48.00,16.00,,,10,1.22,55.00,10,1.22,49.00,,,,
1092,Female,,11/15/2024,3476,361929,6:20:00 PM,15,2.44,78.00,15,2.44,49.00,17.00,,,14,2.15,75.00,13,1.90,50.00,7:38:00 PM,32.00,,
31459,Female,,11/15/2024,3476,361929,6:22:00 PM,11,1.44,71.00,7,0.78,49.00,17.00,,,9,0.98,62.00,7,0.78,48.00,,,,
5000,Female,20,1/12/2025,3476,379144,12:00:00 AM,13,1.90,67.50,5,0.65,47.25,5.00,5.788,45.40,7,0.78,58.75,7,0.78,35.50,5:44:00 PM,18.00,5.461,45.80
6875341,Female,18,1/12/2025,3476,379144,4:35:00 PM,10,1.22,71.25,4,0.52,47.00,6.00,6.217,47.50,9,0.98,77.00,5,0.65,45.00,5:40:00 PM,17.00,6.528,43.30
32437,Female,19,1/12/2025,3476,379144,4:38:00 PM,11,1.44,78.00,4,0.52,46.50,6.00,6.002,34.10,5,0.65,74.50,5,0.65,44.00,6:01:00 PM,20.00,6.151,38.80
6875476,Female,18,1/12/2025,3476,379144,4:40:00 PM,10,1.22,77.25,4,0.52,50.75,7.00,6.073,43.40,3,0.49,77.00,8,0.96,49.00,6:05:00 PM,21.00,6.467,42.00
6873834,Female,18,1/12/2025,3476,379144,4:42:00 PM,17,3.30,69.00,17,3.30,52.15,7.00,2.296,42.30,16,2.70,65.00,15,2.44,46.00,6:07:00 PM,21.00,5.320,42.90
5001,Female,19,1/12/2025,3476,379144,4:45:00 PM,12,1.63,82.25,4,0.52,48.50,7.00,6.432,41.00,5,0.65,73.50,7,0.78,47.50,6:04:00 PM,21.00,6.557,43.40
5002,Male,18,1/12/2025,3476,379144,4:48:00 PM,11,1.44,84.00,4,0.52,54.00,8.00,5.852,50.80,10,1.22,73.00,6,0.72,51.00,5:58:00 PM,20.00,7.550,46.00
5003,Female,19,1/12/2025,3476,379144,4:49:00 PM,14,2.15,73.00,7,0.78,49.50,8.00,6.474,43.80,12,1.63,68.50,10,1.22,48.00,6:01:00 PM,21.00,6.400,28.06
5004,Female,18,1/12/2025,3476,379144,4:52:00 PM,5,0.65,69.00,4,0.52,45.50,9.00,6.515,43.30,6,0.72,70.50,6,0.72,38.75,6:09:00 PM,22.00,6.812,40.10
