"ID","Session","Task","Altitude","Disparity_VA","Reported_Visual_Angle","Real_Visual_Angle","Ratio_Visual_Angle","Distance","Date"
"1046","Higher","Adjusted",36,8.64722526645977,1.42647429247901,0.5484,2.60115662377645,183560.6568,"Oct 16"
"1047","Lower","Perceptual",22,NA,0.925818941369154,0.5484,1.68821834677089,183560.6568,"Oct 16"
"1047","Lower","Adjusted",22,NA,1.28253086728732,0.5484,2.33867773028323,183560.6568,"Oct 16"
"1047","Higher","Perceptual",39,8.79741070999106,0.862957155563023,0.5484,1.57359072859778,183560.6568,"Oct 16"
"1047","Higher","Adjusted",39,8.79741070999106,1.25004014803499,0.5484,2.27943134214988,183560.6568,"Oct 16"
"1048","Lower","Perceptual",22,NA,1.5792067606097,0.5484,2.87966221847136,183560.6568,"Oct 16"
"1048","Lower","Adjusted",22,NA,1.08998439497494,0.5484,1.98757183620522,183560.6568,"Oct 16"
"1048","Higher","Perceptual",39.5,5.22336275579677,0.822348835742584,0.5484,1.49954200536576,183560.6568,"Oct 16"
"1048","Higher","Adjusted",39.5,5.22336275579677,0.916712916000863,0.5484,1.67161363238669,183560.6568,"Oct 16"
"1049","Lower","Perceptual",22,NA,2.70058666288484,0.5484,4.9244833385938,183560.6568,"Oct 16"
"1049","Lower","Adjusted",22,NA,2.36862272200934,0.5484,4.3191515718624,183560.6568,"Oct 16"
"1049","Higher","Perceptual",41,6.26612703834723,1.64461297834099,0.5484,2.99892957392595,183560.6568,"Oct 16"
"1049","Higher","Adjusted",41,6.26612703834723,2.0751535857627,0.5484,3.78401456193053,183560.6568,"Oct 16"
"1050","Lower","Perceptual",23,NA,0.84216376522285,0.5484,1.53567426189433,183560.6568,"Oct 16"
"1050","Lower","Adjusted",23,NA,0.920469774871083,0.5484,1.67846421384224,183560.6568,"Oct 16"
"1050","Higher","Perceptual",40,6.80977682105415,0.832138360694079,0.5484,1.51739307201692,183560.6568,"Oct 16"
"1050","Higher","Adjusted",40,6.80977682105415,1.00265055352368,0.5484,1.82831975478425,183560.6568,"Oct 16"
"1051","Lower","Perceptual",23,NA,1.70477302501102,0.5484,3.10863060724111,183560.6568,"Oct 16"
"1051","Lower","Adjusted",23,NA,0.971513853554409,0.5484,1.77154240254269,183560.6568,"Oct 16"
"1051","Higher","Perceptual",42,7.28237051580268,0.884946922429134,0.5484,1.61368877175262,183560.6568,"Oct 16"
"1051","Higher","Adjusted",42,7.28237051580268,0.970634697568803,0.5484,1.76993927346609,183560.6568,"Oct 16"
"1052","Lower","Perceptual",24,NA,2.27468066507516,0.5484,4.14784949867827,183560.6568,"Oct 16"
"1052","Lower","Adjusted",24,NA,1.05940121126085,0.5484,1.93180381338594,183560.6568,"Oct 16"
"1052","Higher","Perceptual",45,11.0178993964321,1.12249365388949,0.5484,2.04685203116245,183560.6568,"Oct 16"
"1052","Higher","Adjusted",45,11.0178993964321,1.3095608045354,0.5484,2.38796645611853,183560.6568,"Oct 16"
"1053","Lower","Perceptual",24,NA,0.931990796366406,0.5484,1.6994726410766,183560.6568,"Oct 16"
"1053","Lower","Adjusted",24,NA,1.1229613296417,0.5484,2.04770483158588,183560.6568,"Oct 16"
"1053","Higher","Perceptual",44,3.06649369342039,0.748342400000073,0.5484,1.36459226841735,183560.6568,"Oct 16"
"1053","Higher","Adjusted",44,3.06649369342039,1.625492151901,0.5484,2.96406300492523,183560.6568,"Oct 16"
"1054","Lower","Perceptual",7,NA,2.55465874937243,0.5423,4.71078508090066,181518.8318,"Oct 17"
"1054","Lower","Adjusted",7,NA,1.62410203838201,0.5423,2.99484056496776,181518.8318,"Oct 17"
"1054","Higher","Perceptual",36,7.10017550948219,1.31153286256249,0.5423,2.41846369640879,181518.8318,"Oct 17"
"1054","Higher","Adjusted",36,7.10017550948219,2.15054290531803,0.5423,3.96559635869082,181518.8318,"Oct 17"
"1055","Lower","Perceptual",8,NA,1.34391345647425,0.5423,2.47817343993039,181518.8318,"Oct 17"
"1055","Lower","Adjusted",8,NA,0.982189309936894,0.5423,1.81115491413774,181518.8318,"Oct 17"
"1055","Higher","Perceptual",36,7.08319544228064,0.680596408263859,0.5423,1.25501827081663,181518.8318,"Oct 17"
"1055","Higher","Adjusted",36,7.08319544228064,0.950844305128317,0.5423,1.75335479463086,181518.8318,"Oct 17"
"1056","Lower","Perceptual",10,NA,2.00281922303184,0.5423,3.69319421543765,181518.8318,"Oct 17"
"1056","Lower","Adjusted",10,NA,1.08915429693533,0.5423,2.00839811347102,181518.8318,"Oct 17"
"1056","Higher","Perceptual",37,11.5688335302831,0.515658534941426,0.5423,0.950873197384152,181518.8318,"Oct 17"
